başvuru_metni,öncelik_skoru
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",4
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,4
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",4
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",4
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
Bir hafta sonu kaçamağı yapmak istiyorum.,4
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",4
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",4
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",4
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",4
Akademik makale yazma atölyesine katılacağım.,5
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,5
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,5
"Okul bitirme projemi sunacağım, konaklama ihtiyacım var.",5
Üniversite arkadaşlarımla mezuniyet toplantımız var.,5
Girişimcilik seminerine katılmak için şehirdeyim.,5
Kampüsümde düzenlenen bir atölyeye katılacağım.,5
Akademik makale yazma atölyesine katılacağım.,5
Gönüllü projeye katılmak için şehirdeyim.,5
Kampüs içi etkinlikte görev alacağım.,5
Kampüs içi etkinlikte görev alacağım.,5
Kampüs içi etkinlikte görev alacağım.,5
Kampüs içi etkinlikte görev alacağım.,5
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,5
"Staj için şehre geldim, konaklayacak yerim yok.",5
Mezuniyet belgemi almak için geldim.,5
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,5
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,5
Öğretmenlik mülakatı için şehirde bulunuyorum.,5
"Staj için şehre geldim, konaklayacak yerim yok.",5
"Staj için şehre geldim, konaklayacak yerim yok.",5
Gönüllü projeye katılmak için şehirdeyim.,5
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,5
Girişimcilik seminerine katılmak için şehirdeyim.,5
Kampüs içi etkinlikte görev alacağım.,5
Kampüs içi etkinlikte görev alacağım.,5
Gönüllü projeye katılmak için şehirdeyim.,5
Mezuniyet belgemi almak için geldim.,5
Kampüsümde düzenlenen bir atölyeye katılacağım.,5
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,5
Kampüs içi etkinlikte görev alacağım.,5
Gönüllü projeye katılmak için şehirdeyim.,5
"Staj için şehre geldim, konaklayacak yerim yok.",5
Girişimcilik seminerine katılmak için şehirdeyim.,5
Üniversitemin kariyer günlerine katılmak için geldim.,5
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,5
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,5
Üniversite kulüp etkinliğine katılıyorum.,5
Akademik makale yazma atölyesine katılacağım.,5
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,5
Mezuniyet belgemi almak için geldim.,5
Kampüs içi etkinlikte görev alacağım.,5
"Okul bitirme projemi sunacağım, konaklama ihtiyacım var.",5
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,5
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,5
Girişimcilik seminerine katılmak için şehirdeyim.,5
Girişimcilik seminerine katılmak için şehirdeyim.,5
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,5
Mezuniyet belgemi almak için geldim.,5
Öğretmenlik mülakatı için şehirde bulunuyorum.,5
Akademik makale yazma atölyesine katılacağım.,5
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,5
Öğretmenlik mülakatı için şehirde bulunuyorum.,5
Kampüsümde düzenlenen bir atölyeye katılacağım.,5
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,5
Akademik makale yazma atölyesine katılacağım.,5
Üniversitemin kariyer günlerine katılmak için geldim.,5
Öğretmenlik mülakatı için şehirde bulunuyorum.,5
Üniversitemin kariyer günlerine katılmak için geldim.,5
Mezuniyet belgemi almak için geldim.,5
Üniversite kulüp etkinliğine katılıyorum.,5
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,5
Gönüllü projeye katılmak için şehirdeyim.,5
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,5
Üniversite kulüp etkinliğine katılıyorum.,5
"Staj için şehre geldim, konaklayacak yerim yok.",5
Gönüllü projeye katılmak için şehirdeyim.,5
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,5
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,5
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,5
Mezuniyet belgemi almak için geldim.,5
Öğretmenlik mülakatı için şehirde bulunuyorum.,5
Girişimcilik seminerine katılmak için şehirdeyim.,5
Girişimcilik seminerine katılmak için şehirdeyim.,5
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,5
"Staj için şehre geldim, konaklayacak yerim yok.",5
Üniversite kulüp etkinliğine katılıyorum.,5
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,5
Mezuniyet belgemi almak için geldim.,5
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,5
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,5
Öğretmenlik mülakatı için şehirde bulunuyorum.,5
Gönüllü projeye katılmak için şehirdeyim.,5
"Staj için şehre geldim, konaklayacak yerim yok.",5
Mezuniyet belgemi almak için geldim.,5
Akademik makale yazma atölyesine katılacağım.,5
Öğretmenlik mülakatı için şehirde bulunuyorum.,5
Mezuniyet belgemi almak için geldim.,5
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,5
Üniversitemin kariyer günlerine katılmak için geldim.,5
Üniversite kulüp etkinliğine katılıyorum.,5
Girişimcilik seminerine katılmak için şehirdeyim.,5
"Okul bitirme projemi sunacağım, konaklama ihtiyacım var.",5
Mezuniyet belgemi almak için geldim.,5
Mezuniyet belgemi almak için geldim.,5
Üniversite kulüp etkinliğine katılıyorum.,5
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,5
Kampüsümde düzenlenen bir atölyeye katılacağım.,5
"Okul bitirme projemi sunacağım, konaklama ihtiyacım var.",5
Girişimcilik seminerine katılmak için şehirdeyim.,5
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,6
Öğretmenlik mülakatı için şehirde bulunuyorum.,6
Kampüsümde düzenlenen bir atölyeye katılacağım.,6
Kampüs içi etkinlikte görev alacağım.,6
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,6
Mezuniyet belgemi almak için geldim.,6
Üniversite kulüp etkinliğine katılıyorum.,6
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,6
Gönüllü projeye katılmak için şehirdeyim.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Gönüllü projeye katılmak için şehirdeyim.,6
Gönüllü projeye katılmak için şehirdeyim.,6
Üniversitemin kariyer günlerine katılmak için geldim.,6
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,6
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,6
Üniversitemin kariyer günlerine katılmak için geldim.,6
Kampüs içi etkinlikte görev alacağım.,6
Kampüs içi etkinlikte görev alacağım.,6
Üniversitemin kariyer günlerine katılmak için geldim.,6
Üniversitemin kariyer günlerine katılmak için geldim.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Mezuniyet belgemi almak için geldim.,6
Öğretmenlik mülakatı için şehirde bulunuyorum.,6
Üniversitemin kariyer günlerine katılmak için geldim.,6
Üniversite kulüp etkinliğine katılıyorum.,6
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,6
Öğretmenlik mülakatı için şehirde bulunuyorum.,6
Kampüs içi etkinlikte görev alacağım.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,6
Girişimcilik seminerine katılmak için şehirdeyim.,6
Gönüllü projeye katılmak için şehirdeyim.,6
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,6
"Staj için şehre geldim, konaklayacak yerim yok.",6
Kampüs içi etkinlikte görev alacağım.,6
Akademik makale yazma atölyesine katılacağım.,6
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Öğretmenlik mülakatı için şehirde bulunuyorum.,6
Kampüs içi etkinlikte görev alacağım.,6
Kampüsümde düzenlenen bir atölyeye katılacağım.,6
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,6
Öğretmenlik mülakatı için şehirde bulunuyorum.,6
Üniversite kulüp etkinliğine katılıyorum.,6
"Staj için şehre geldim, konaklayacak yerim yok.",6
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,6
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Kampüs içi etkinlikte görev alacağım.,6
Gönüllü projeye katılmak için şehirdeyim.,6
"Staj için şehre geldim, konaklayacak yerim yok.",6
Üniversitemin kariyer günlerine katılmak için geldim.,6
Üniversitemin kariyer günlerine katılmak için geldim.,6
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,6
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,6
Akademik makale yazma atölyesine katılacağım.,6
Öğretmenlik mülakatı için şehirde bulunuyorum.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Mezuniyet belgemi almak için geldim.,6
Akademik makale yazma atölyesine katılacağım.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Kampüs içi etkinlikte görev alacağım.,6
Girişimcilik seminerine katılmak için şehirdeyim.,6
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,6
Gönüllü projeye katılmak için şehirdeyim.,6
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Üniversitemin kariyer günlerine katılmak için geldim.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Gönüllü projeye katılmak için şehirdeyim.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Kampüsümde düzenlenen bir atölyeye katılacağım.,6
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,6
Üniversitemin kariyer günlerine katılmak için geldim.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Akademik makale yazma atölyesine katılacağım.,6
Kampüsümde düzenlenen bir atölyeye katılacağım.,6
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,6
Kampüs içi etkinlikte görev alacağım.,6
Kampüs içi etkinlikte görev alacağım.,6
Kampüs içi etkinlikte görev alacağım.,6
Kampüs içi etkinlikte görev alacağım.,6
Mezuniyet belgemi almak için geldim.,6
Kampüs içi etkinlikte görev alacağım.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,6
Üniversite kulüp etkinliğine katılıyorum.,6
"Staj için şehre geldim, konaklayacak yerim yok.",6
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,6
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,6
Akademik makale yazma atölyesine katılacağım.,6
Üniversitemin kariyer günlerine katılmak için geldim.,6
Üniversitemin kariyer günlerine katılmak için geldim.,6
Üniversite kulüp etkinliğine katılıyorum.,6
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,6
Girişimcilik seminerine katılmak için şehirdeyim.,6
Kampüsümde düzenlenen bir atölyeye katılacağım.,6
Kampüs içi etkinlikte görev alacağım.,6
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,7
Kampüsümde düzenlenen bir atölyeye katılacağım.,7
Kampüs içi etkinlikte görev alacağım.,7
Üniversite kulüp etkinliğine katılıyorum.,7
Mezuniyet belgemi almak için geldim.,7
"Okul bitirme projemi sunacağım, konaklama ihtiyacım var.",7
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,7
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,7
Girişimcilik seminerine katılmak için şehirdeyim.,7
"Staj için şehre geldim, konaklayacak yerim yok.",7
Öğretmenlik mülakatı için şehirde bulunuyorum.,7
Kampüsümde düzenlenen bir atölyeye katılacağım.,7
Kampüsümde düzenlenen bir atölyeye katılacağım.,7
Üniversite arkadaşlarımla mezuniyet toplantımız var.,7
Mezuniyet belgemi almak için geldim.,7
Üniversitemin kariyer günlerine katılmak için geldim.,7
Öğretmenlik mülakatı için şehirde bulunuyorum.,7
Üniversite arkadaşlarımla mezuniyet toplantımız var.,7
"Staj için şehre geldim, konaklayacak yerim yok.",7
Akademik makale yazma atölyesine katılacağım.,7
Mezuniyet belgemi almak için geldim.,7
Mezuniyet belgemi almak için geldim.,7
Üniversite arkadaşlarımla mezuniyet toplantımız var.,7
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,7
Üniversite kulüp etkinliğine katılıyorum.,7
Mezuniyet belgemi almak için geldim.,7
Mezuniyet belgemi almak için geldim.,7
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,7
Girişimcilik seminerine katılmak için şehirdeyim.,7
Mezuniyet belgemi almak için geldim.,7
Girişimcilik seminerine katılmak için şehirdeyim.,7
Akademik makale yazma atölyesine katılacağım.,7
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,7
"Okul bitirme projemi sunacağım, konaklama ihtiyacım var.",7
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,7
Gönüllü projeye katılmak için şehirdeyim.,7
Gönüllü projeye katılmak için şehirdeyim.,7
Öğretmenlik mülakatı için şehirde bulunuyorum.,7
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,7
Üniversite kulüp etkinliğine katılıyorum.,7
Üniversite kulüp etkinliğine katılıyorum.,7
Mezuniyet belgemi almak için geldim.,7
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,7
Girişimcilik seminerine katılmak için şehirdeyim.,7
Kampüsümde düzenlenen bir atölyeye katılacağım.,7
Mezuniyet belgemi almak için geldim.,7
"Staj için şehre geldim, konaklayacak yerim yok.",7
Üniversite kulüp etkinliğine katılıyorum.,7
Mezuniyet belgemi almak için geldim.,7
Öğretmenlik mülakatı için şehirde bulunuyorum.,7
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,7
Mezuniyet belgemi almak için geldim.,7
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,7
Mezuniyet belgemi almak için geldim.,7
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,7
"Okul bitirme projemi sunacağım, konaklama ihtiyacım var.",7
Öğretmenlik mülakatı için şehirde bulunuyorum.,7
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,7
Girişimcilik seminerine katılmak için şehirdeyim.,7
Mezuniyet belgemi almak için geldim.,7
Girişimcilik seminerine katılmak için şehirdeyim.,7
Mezuniyet belgemi almak için geldim.,7
Mezuniyet belgemi almak için geldim.,7
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,7
Öğretmenlik mülakatı için şehirde bulunuyorum.,7
Üniversite kulüp etkinliğine katılıyorum.,7
Öğretmenlik mülakatı için şehirde bulunuyorum.,7
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,7
"Okul bitirme projemi sunacağım, konaklama ihtiyacım var.",7
Üniversite kulüp etkinliğine katılıyorum.,7
Girişimcilik seminerine katılmak için şehirdeyim.,7
Öğretmenlik mülakatı için şehirde bulunuyorum.,7
Üniversite arkadaşlarımla mezuniyet toplantımız var.,7
Üniversitemin kariyer günlerine katılmak için geldim.,7
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,7
Öğretmenlik mülakatı için şehirde bulunuyorum.,7
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,7
Mezuniyet belgemi almak için geldim.,7
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,7
Mezuniyet belgemi almak için geldim.,7
Gönüllü projeye katılmak için şehirdeyim.,7
Birkaç gün ders çalışmak için sessiz bir ortam istiyorum.,7
Mezuniyet belgemi almak için geldim.,7
Kampüs içi etkinlikte görev alacağım.,7
Mezuniyet belgemi almak için geldim.,7
Girişimcilik seminerine katılmak için şehirdeyim.,7
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,7
Akademik makale yazma atölyesine katılacağım.,7
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,7
Üniversitemin kariyer günlerine katılmak için geldim.,7
Öğretmenlik mülakatı için şehirde bulunuyorum.,7
Mühendislik yarışması için takım arkadaşlarımla konaklayacağız.,7
Gönüllü projeye katılmak için şehirdeyim.,7
Üniversite kulüp etkinliğine katılıyorum.,7
"Okul bitirme projemi sunacağım, konaklama ihtiyacım var.",7
Öğretmenlik mülakatı için şehirde bulunuyorum.,7
Öğretmenlik mülakatı için şehirde bulunuyorum.,7
Mezuniyet belgemi almak için geldim.,7
Öğretmenlik mülakatı için şehirde bulunuyorum.,7
İngilizce yeterlilik sınavı için üniversitemde bulunuyorum.,7
Araştırma projemin sunumunu yapacağım.,8
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",8
Tıp kongresi için şehirde bulunuyorum.,8
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",8
Tıp kongresi için şehirde bulunuyorum.,8
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",8
Araştırma projemin sunumunu yapacağım.,8
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",8
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,8
"Spor turnuvasına katılacağım, gece konaklamaya ihtiyacım var.",8
"Spor turnuvasına katılacağım, gece konaklamaya ihtiyacım var.",8
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",8
"Spor turnuvasına katılacağım, gece konaklamaya ihtiyacım var.",8
Tıp kongresi için şehirde bulunuyorum.,8
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",8
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",8
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,8
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",8
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",8
Araştırma projemin sunumunu yapacağım.,8
Şehir dışında bir sağlık kongresine katılmak için geldim.,8
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,8
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",8
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",8
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,8
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",8
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,8
Araştırma projemin sunumunu yapacağım.,8
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",8
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",8
Akademik konferansa katılacağım.,8
Akademik konferansa katılacağım.,8
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",8
Şehir dışında bir sağlık kongresine katılmak için geldim.,8
Tıp kongresi için şehirde bulunuyorum.,8
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",8
Araştırma projemin sunumunu yapacağım.,8
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",8
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",8
Akademik konferansa katılacağım.,8
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",8
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,8
Araştırma projemin sunumunu yapacağım.,8
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",8
"Spor turnuvasına katılacağım, gece konaklamaya ihtiyacım var.",8
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",8
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",8
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,8
Doktora tez savunmam için üniversitemde bulunmam gerekiyor.,8
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",8
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",8
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",8
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",8
Akademik konferansa katılacağım.,8
Araştırma projemin sunumunu yapacağım.,8
Tıp kongresi için şehirde bulunuyorum.,8
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",8
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",8
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",8
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,8
"Spor turnuvasına katılacağım, gece konaklamaya ihtiyacım var.",8
Tıp kongresi için şehirde bulunuyorum.,8
"Spor turnuvasına katılacağım, gece konaklamaya ihtiyacım var.",8
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",8
Şehir dışında bir sağlık kongresine katılmak için geldim.,8
Akademik konferansa katılacağım.,8
"Spor turnuvasına katılacağım, gece konaklamaya ihtiyacım var.",8
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",8
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",8
Doktora tez savunmam için üniversitemde bulunmam gerekiyor.,8
Araştırma projemin sunumunu yapacağım.,8
Şehir dışında bir sağlık kongresine katılmak için geldim.,8
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",8
"Spor turnuvasına katılacağım, gece konaklamaya ihtiyacım var.",8
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",8
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",8
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",8
Tıp kongresi için şehirde bulunuyorum.,8
Tıp kongresi için şehirde bulunuyorum.,8
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",8
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,8
Tıp kongresi için şehirde bulunuyorum.,8
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",8
Şehir dışında bir sağlık kongresine katılmak için geldim.,8
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",8
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",8
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",8
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",8
Doktora tez savunmam için üniversitemde bulunmam gerekiyor.,8
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",8
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",8
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",8
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",8
Tıp kongresi için şehirde bulunuyorum.,8
"Üniversite kayıt işlemlerim var, birkaç gün kalmam gerekiyor.",8
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,8
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",8
Akademik konferansa katılacağım.,8
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,8
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",8
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
Araştırma projemin sunumunu yapacağım.,9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
Araştırma projemin sunumunu yapacağım.,9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",9
"Erasmus başvurusu için belgelerimi teslim edeceğim, bir günlüğüne yurtta kalabilir miyim?",9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,9
Araştırma projemin sunumunu yapacağım.,9
Akademik konferansa katılacağım.,9
Şehir dışında bir sağlık kongresine katılmak için geldim.,9
Araştırma projemin sunumunu yapacağım.,9
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,9
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,9
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,9
Tıp kongresi için şehirde bulunuyorum.,9
Tıp kongresi için şehirde bulunuyorum.,9
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",9
Tıp kongresi için şehirde bulunuyorum.,9
Şehir dışında bir sağlık kongresine katılmak için geldim.,9
"Yurt dışında bir değişim programına katılacağım, evrak işlerimi tamamlıyorum.",9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
Şehir dışında bir sağlık kongresine katılmak için geldim.,9
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",9
Araştırma projemin sunumunu yapacağım.,9
"TÜBİTAK proje yarışmasına katılacağım, yurtta kalabilir miyim?",9
Şehir dışında bir sağlık kongresine katılmak için geldim.,9
Doktora tez savunmam için üniversitemde bulunmam gerekiyor.,9
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,9
"Şehir dışından geldim, okulumun düzenlediği seminere katılacağım.",9
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,9
"Üniversite sınavına hazırlanıyorum, birkaç gün yurtta çalışmak istiyorum.",9
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",9
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,9
Doktora tez savunmam için üniversitemde bulunmam gerekiyor.,9
Akademik konferansa katılacağım.,9
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",9
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",9
Bakanlık tarafından düzenlenen gençlik kampına katılıyorum.,9
Doktora tez savunmam için üniversitemde bulunmam gerekiyor.,9
Doktora tez savunmam için üniversitemde bulunmam gerekiyor.,9
"Bilim olimpiyatları için buradayım, konaklamaya ihtiyacım var.",9
Araştırma projemin sunumunu yapacağım.,9
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,9
Doktora tez savunmam için üniversitemde bulunmam gerekiyor.,9
Ulusal çapta düzenlenen bir kodlama yarışması için buradayım.,9
